Employee_ID,First_Name,Last_Name,Department,Region,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,DevOps,California,25.0,1,2021-04-02,59767.65,bob.davis@example.com,1651623197,2,1
EMP1001,Bob,Brown,Finance,Texas,30.0,1,2020-07-10,65304.66,bob.brown@example.com,1898471390,4,1
EMP1002,Alice,Jones,Admin,Nevada,35.0,0,2023-12-07,88145.9,alice.jones@example.com,5596363211,3,1
EMP1003,Eva,Davis,Admin,Nevada,25.0,0,2021-11-27,69450.99,eva.davis@example.com,3476490784,3,1
EMP1004,Frank,Williams,Cloud Tech,Florida,25.0,1,2022-01-05,109324.61,frank.williams@example.com,1586734256,1,0
EMP1005,Alice,Garcia,Sales,Texas,40.0,0,2020-06-10,88642.84,alice.garcia@example.com,5409003485,3,0
EMP1006,Frank,Jones,Admin,Nevada,35.0,1,2020-04-03,96288.43,frank.jones@example.com,4518376063,3,0
EMP1007,Bob,Jones,Cloud Tech,Florida,30.0,0,2022-07-17,94497.91,bob.jones@example.com,4134327559,2,1
EMP1008,Frank,Davis,Admin,Nevada,35.0,0,2023-12-08,115565.82,frank.davis@example.com,4177656123,4,1
EMP1009,Charlie,Johnson,DevOps,New York,40.0,1,2022-08-04,76561.88,charlie.johnson@example.com,8156985699,4,1
EMP1010,David,Williams,Cloud Tech,New York,35.0,1,2024-07-06,72081.71,david.williams@example.com,2720634590,2,0
EMP1011,David,Davis,DevOps,California,35.0,1,2023-09-04,84946.19,david.davis@example.com,1238296576,1,1
EMP1012,Heidi,Williams,HR,New York,30.0,1,2024-03-05,89295.77,heidi.williams@example.com,2429543164,4,0
EMP1013,Grace,Williams,Finance,California,25.0,1,2020-10-10,85666.84,grace.williams@example.com,2669300892,3,0
EMP1014,Alice,Garcia,Admin,Nevada,25.0,1,2024-06-10,97633.68,alice.garcia@example.com,1734206968,4,1
EMP1015,Grace,Jones,Sales,Florida,40.0,0,2021-05-29,117975.49,grace.jones@example.com,4215291085,3,1
EMP1016,Alice,Brown,DevOps,Illinois,25.0,0,2024-04-23,94867.33,alice.brown@example.com,7713334475,1,0
EMP1017,Grace,Garcia,Finance,Texas,30.0,0,2024-11-28,100377.65,grace.garcia@example.com,2639343625,2,1
EMP1018,Charlie,Garcia,Cloud Tech,Nevada,35.0,0,2024-09-19,94726.46,charlie.garcia@example.com,2044397358,4,0
EMP1019,Charlie,Williams,Admin,Illinois,35.0,0,2020-01-02,91926.12,charlie.williams@example.com,7107256365,2,1
EMP1020,Bob,Miller,HR,New York,35.0,1,2021-05-08,111460.67,bob.miller@example.com,9411800536,4,1
EMP1021,Bob,Jones,Cloud Tech,Illinois,40.0,1,2020-09-19,96182.56,bob.jones@example.com,5990048963,3,0
EMP1022,Charlie,Johnson,Sales,Illinois,35.0,0,2021-03-09,115023.94,charlie.johnson@example.com,6528092427,2,1
EMP1023,David,Garcia,Finance,Nevada,35.0,0,2022-02-03,80667.01,david.garcia@example.com,7572158623,4,0
